,0
0,0.697777778
1,0.877777778
2,0.906666667
3,0.937777778
4,0.915555556
5,0.915555556
6,0.947777778
7,0.926666667
8,0.937777778
9,0.915555556
10,0.925555556
11,0.926666667
12,0.926666667
13,0.915555556
14,0.915555556
15,0.915555556
16,0.915555556
17,0.936666667
18,0.915555556
19,0.926666667
20,0.925555556
21,0.936666667
22,0.925555556
23,0.936666667
24,0.915555556
25,0.926666667
26,0.936666667
27,0.926666667
28,0.936666667
29,0.936666667
